year,city,coc,count_type,overall_homeless,sheltered_total,unsheltered,overall_individuals,overall_families_people,chronic,veterans,mayor,unsheltered_share
2011,Chicago,IL-510,Sheltered and Unsheltered Count,6635.0,4913.0,1722.0,4261.0,2374.0,1155.0,500.0,Rahm Emanuel,0.2595327807083647
2012,Chicago,IL-510,Sheltered-Only Count,6710.0,4988.0,1722.0,4270.0,2440.0,1118.0,520.0,Rahm Emanuel,0.25663189269746645
2013,Chicago,IL-510,Sheltered and Unsheltered Count,6276.0,5060.0,1216.0,3923.0,2353.0,557.0,712.0,Rahm Emanuel,0.19375398342893563
2014,Chicago,IL-510,Sheltered and Unsheltered Count,6287.0,5328.0,959.0,3738.0,2549.0,655.0,714.0,Rahm Emanuel,0.15253698107205343
2015,Chicago,IL-510,Sheltered and Unsheltered Count,6786.0,4731.0,2055.0,4592.0,2194.0,1066.0,752.0,Rahm Emanuel,0.30282935455349247
2016,Chicago,IL-510,Sheltered and Unsheltered Count,5889.0,4646.0,1243.0,3721.0,2168.0,343.0,601.0,Rahm Emanuel,0.21107148921718458
2017,Chicago,IL-510,Sheltered and Unsheltered Count,5657.0,4096.0,1561.0,3724.0,1933.0,863.0,528.0,Rahm Emanuel,0.2759413116492841
2018,Chicago,IL-510,Sheltered and Unsheltered Count,5450.0,4093.0,1357.0,3553.0,1897.0,971.0,494.0,Rahm Emanuel,0.2489908256880734
2019,Chicago,IL-510,Sheltered and Unsheltered Count,5290.0,4030.0,1260.0,3318.0,1972.0,1189.0,399.0,Rahm Emanuel,0.2381852551984877
2020,Chicago,IL-510,Sheltered and Unsheltered Count,5390.0,3861.0,1529.0,3668.0,1722.0,1521.0,487.0,Lori Lightfoot,0.2836734693877551
2021,Chicago,IL-510,Sheltered and Partial Unsheltered Count,3725.0,3023.0,702.0,2487.0,1238.0,585.0,208.0,Lori Lightfoot,0.1884563758389262
2022,Chicago,IL-510,Sheltered and Unsheltered Count,3875.0,2612.0,1263.0,2905.0,970.0,650.0,322.0,Lori Lightfoot,0.32593548387096777
2023,Chicago,IL-510,Sheltered and Unsheltered Count,6139.0,5149.0,990.0,4364.0,1775.0,663.0,317.0,Lori Lightfoot,0.1612640495194657
2024,Chicago,IL-510,Sheltered and Unsheltered Count,18836.0,17202.0,1634.0,7955.0,10881.0,2693.0,305.0,Brandon Johnson,0.08674877893395626
2011,Los Angeles,CA-600,Sheltered and Unsheltered Count,34622.0,16882.0,17740.0,25404.0,9218.0,9640.0,6281.0,Antonio Villaraigosa,0.5123909652821905
2012,Los Angeles,CA-600,Sheltered-Only Count,31553.0,13813.0,17740.0,24609.0,6944.0,7930.0,4521.0,Antonio Villaraigosa,0.5622286311919628
2013,Los Angeles,CA-600,Sheltered and Unsheltered Count,35524.0,12934.0,22590.0,28846.0,6678.0,8702.0,4007.0,Antonio Villaraigosa,0.635908118455129
2014,Los Angeles,CA-600,Sheltered-Only Count,34393.0,11803.0,22590.0,28164.0,6229.0,8882.0,3739.0,Eric Garcetti,0.6568197016834821
2015,Los Angeles,CA-600,Sheltered and Unsheltered Count,41174.0,12226.0,28948.0,33669.0,7505.0,14173.0,4016.0,Eric Garcetti,0.7030650410453199
2016,Los Angeles,CA-600,Sheltered and Unsheltered Count,43854.0,11073.0,32781.0,37726.0,6128.0,13468.0,2728.0,Eric Garcetti,0.7475030783964974
2017,Los Angeles,CA-600,Sheltered and Unsheltered Count,52442.0,13972.0,38470.0,44586.0,7856.0,16249.0,4440.0,Eric Garcetti,0.7335723275237405
2018,Los Angeles,CA-600,Sheltered and Unsheltered Count,49955.0,12385.0,37570.0,42079.0,7876.0,13275.0,3538.0,Eric Garcetti,0.752076869182264
2019,Los Angeles,CA-600,Sheltered and Unsheltered Count,56257.0,13786.0,42471.0,47810.0,8447.0,15538.0,3538.0,Eric Garcetti,0.7549460511580781
2020,Los Angeles,CA-600,Sheltered and Unsheltered Count,63706.0,17616.0,46090.0,51290.0,12416.0,24482.0,3681.0,Eric Garcetti,0.7234797350328069
2021,Los Angeles,CA-600,Sheltered-Only Count,17225.0,17225.0,0.0,8783.0,8442.0,4215.0,665.0,Eric Garcetti,0.0
2022,Los Angeles,CA-600,Sheltered and Unsheltered Count,65111.0,19233.0,45878.0,54469.0,10642.0,26985.0,3456.0,Eric Garcetti,0.7046121239114742
2023,Los Angeles,CA-600,Sheltered and Unsheltered Count,71320.0,19013.0,52307.0,60843.0,10477.0,31991.0,3874.0,Karen Bass,0.7334127874369041
2024,Los Angeles,CA-600,Sheltered and Unsheltered Count,71201.0,21692.0,49509.0,60494.0,10707.0,29823.0,2991.0,Karen Bass,0.6953413575652028
2011,New York City,NY-600,Sheltered and Unsheltered Count,51123.0,48475.0,2648.0,20984.0,30139.0,2679.0,4677.0,Michael Bloomberg,0.05179664730160593
2012,New York City,NY-600,Sheltered and Unsheltered Count,56672.0,53410.0,3262.0,23543.0,33129.0,3277.0,3790.0,Michael Bloomberg,0.05755928853754941
2013,New York City,NY-600,Sheltered and Unsheltered Count,64060.0,60880.0,3180.0,24459.0,39601.0,4328.0,3547.0,Michael Bloomberg,0.049640961598501405
2014,New York City,NY-600,Sheltered and Unsheltered Count,67810.0,64453.0,3357.0,26177.0,41633.0,5873.0,1645.0,Bill de Blasio,0.04950597257041734
2015,New York City,NY-600,Sheltered and Unsheltered Count,75323.0,72140.0,3183.0,29612.0,45711.0,5830.0,1558.0,Bill de Blasio,0.0422580088419208
2016,New York City,NY-600,Sheltered and Unsheltered Count,73523.0,70685.0,2838.0,28965.0,44558.0,4294.0,559.0,Bill de Blasio,0.03860016593446949
2017,New York City,NY-600,Sheltered and Unsheltered Count,76501.0,72565.0,3936.0,31124.0,45377.0,5755.0,535.0,Bill de Blasio,0.05145030783911322
2018,New York City,NY-600,Sheltered and Unsheltered Count,78676.0,74965.0,3711.0,33391.0,45285.0,6336.0,605.0,Bill de Blasio,0.047168132594437945
2019,New York City,NY-600,Sheltered and Unsheltered Count,78604.0,74982.0,3622.0,35427.0,43177.0,6226.0,684.0,Bill de Blasio,0.046079079945040964
2020,New York City,NY-600,Sheltered and Unsheltered Count,77943.0,74039.0,3904.0,36394.0,41549.0,6460.0,688.0,Bill de Blasio,0.05008788473628164
2021,New York City,NY-600,Sheltered and Unsheltered Count,68358.0,65975.0,2383.0,34740.0,33618.0,6621.0,625.0,Bill de Blasio,0.034860586910090995
2022,New York City,NY-600,Sheltered and Unsheltered Count,61840.0,58385.0,3455.0,32308.0,29532.0,5529.0,482.0,Eric Adams,0.055869987063389394
2023,New York City,NY-600,Sheltered and Unsheltered Count,88025.0,83940.0,4085.0,41102.0,46923.0,4891.0,567.0,Eric Adams,0.04640727066174382
2024,New York City,NY-600,Sheltered and Unsheltered Count,140134.0,135737.0,4397.0,52679.0,87455.0,4280.0,624.0,Eric Adams,0.031377110479969175
2011,San Francisco,CA-501,Sheltered and Unsheltered Count,5669.0,2298.0,3371.0,5034.0,635.0,1738.0,919.0,Ed Lee,0.5946375022049745
2012,San Francisco,CA-501,Sheltered and Unsheltered Count,5895.0,2524.0,3371.0,5177.0,718.0,1899.0,774.0,Ed Lee,0.5718405428329092
2013,San Francisco,CA-501,Sheltered and Unsheltered Count,7008.0,2693.0,4315.0,6329.0,679.0,2093.0,716.0,Ed Lee,0.6157248858447488
2014,San Francisco,CA-501,Sheltered-Only Count,6408.0,2093.0,4315.0,5776.0,632.0,2321.0,720.0,Ed Lee,0.6733770287141073
2015,San Francisco,CA-501,Sheltered and Unsheltered Count,6775.0,2417.0,4358.0,6175.0,600.0,1629.0,557.0,Ed Lee,0.6432472324723247
2016,San Francisco,CA-501,Sheltered-Only Count,6996.0,2638.0,4358.0,6309.0,687.0,1932.0,580.0,Ed Lee,0.6229273870783305
2017,San Francisco,CA-501,Sheltered and Unsheltered Count,6858.0,2505.0,4353.0,6257.0,601.0,2138.0,684.0,Ed Lee,0.6347331583552056
2018,San Francisco,CA-501,Sheltered-Only Count,6857.0,2504.0,4353.0,6211.0,646.0,1757.0,656.0,Mark Farrell (interim),0.6348257255359486
2019,San Francisco,CA-501,Sheltered and Unsheltered Count,8035.0,2855.0,5180.0,7404.0,631.0,3030.0,608.0,London Breed,0.6446795270690728
2020,San Francisco,CA-501,Sheltered-Only Count,8124.0,2944.0,5180.0,7609.0,515.0,2837.0,699.0,London Breed,0.637616937469227
2021,San Francisco,CA-501,Sheltered-Only Count,4000.0,4000.0,0.0,3411.0,589.0,1668.0,333.0,London Breed,0.0
2022,San Francisco,CA-501,Sheltered and Unsheltered Count,7754.0,3357.0,4397.0,7149.0,605.0,2691.0,605.0,London Breed,0.5670621614650503
2023,San Francisco,CA-501,Sheltered-Only Count,7582.0,3185.0,4397.0,6958.0,624.0,2520.0,548.0,London Breed,0.5799261408599314
2024,San Francisco,CA-501,Sheltered and Unsheltered Count,8323.0,3969.0,4354.0,7220.0,1103.0,2989.0,587.0,London Breed,0.5231286795626577
